fr	en	fr_sen	en_sen
premier	adj.first	Elle est mon premier amour.	She is my first love.
main	n.hand	Je peux le faire avec une main.	I can do it with one hand.
côté	n.side	Les deux côtés de la feuille de papier sont blancs.	Both sides of the sheet of paper are blank.
pouvoir	v.to be able to do something	Tu peux finir ce projet.	You can finish this project.
vieux	adj.old	Le vieux château a été construit sur une colline.	The old castle was built on a hill.
matin	n.morning	Elle était là ce matin.	She was there this morning.
tellement	adv.so much	Il y a tellement de choses que je veux te dire.	There are so many things I want to tell you.
enfant	n.child	Vous êtes une enfant.	You are a child.
pardon	int.excuse me!	Pardon ? Je n'ai pas entendu la question.	Sorry? I did not hear the question.
devant	prep.in front of	Regarde devant toi.	Look in front of you.
devoir	aux v.to have to	Elle doit étudier pour réussir ses examens.	She has to study to pass her exams.
vers	prep.towards	L'avion a entamé sa descente vers l'aéroport.	The plane began its descent towards the airport.
chambre	n.bedroom	Mon père est dans sa chambre.	My father is in his room.
droit	adj n.right	Tu as le droit de savoir.	You have the right to know.
mari	n.husband	Il sera un très bon mari pour elle.	He will be a very good husband for her.
enfin	adv.finally	Il a enfin décidé d'arrêter de fumer.	He finally decided to stop smoking.
eau	n.water	Mon ami avait soif et a demandé un verre d'eau.	My friend was thirsty and asked for a glass of water.
nouvelle	n.(piece of) news	Nous avons une bonne nouvelle.	We have good news.
boulot	n.job	Ils ont fait du bon boulot.	They did a good job.
arrêter	v.to stop	Les freins servent à arrêter un véhicule en mouvement.	Brakes are used to stop a moving vehicle.
terre	n.earth	La Chine est le pays le plus peuplé de la terre.	China is the most populous country on earth.
loin	adv.far	Il est loin de chez lui.	He is far from home.
fin	adj n.end	À la fin, elle a eu une bonne idée.	In the end, she had a good idea.
croire	v.to believe (in something)	Je sais que tu me crois.	I know you believe me.
gros	adj.large	Un gros corbeau noir est perché sur la branche.	A large black crow is perched on the branch.
plutôt	adv.instead	Je pourrais prendre le bus, mais je vais plutôt marcher.	I could take the bus, but I will walk instead.
jouer	v.to play	J'aime jouer au golf pour me détendre.	I enjoy playing golf to relax.
bureau	n.office	Viens à mon bureau.	Come to my office.
hier	adv.yesterday	Nous avons fait ça hier.	We did this yesterday.
prêt	adj.ready	Il vous faut être prêt à tout.	You have to be ready for anything.
celui	this one / that one	J’ai acheté deux cafés celui-ci est décaféiné.	I bought two coffees this one is decaffeinated.
demander	v.to request something	Le juge a demandé au témoin de parler.	The judge asked the witness to speak.
jeune	adj n.young	Ta mère est très jeune.	Your mother is very young.
dehors	adv n.outside	Ils sont dehors.	They are outside.
école	n.school	J'enseigne l'anglais dans une petite école.	I teach English in a small school.
beau	adj.beautiful	Tu as un nom si beau.	You have such a beautiful name.
appeler	v.to call	Appelez la police.	Call the police.
semaine	n.week	Tu as eu une semaine pour faire ça.	You had a week to do this.
vérité	n.truth	En vérité, vous avez raison.	In truth, you are right.
chef	n.leader	Vous êtes le chef.	You are the leader.
confiance	n.trust	On peut me faire confiance.	You can trust me.
feu	n.fire	Votre voiture est en feu.	Your car is on fire.
vivre	v.to live	Je vis dans une grande ville.	I live in a big city.
journée	n.day	Je peux le faire toute la journée.	I can do it all day.
près	adv.close	Reste près.	Stay close.
meilleur	adj n.best	Tu es le meilleur pour ce travail.	You are the best for this job.
dessus	adv.on / above	Voici la table - mettez la valise dessus.	There's the table - put the suitcase on it.
dur	adj.hard	Ça doit être dur à faire.	It must be hard to do.
manger	v.to eat	Allons prendre quelque chose à manger !	Let's have something to eat!
garçon	n.boy	Tu es un bon garçon.	You are a good boy.
équipe	n.team	Voilà mon équipe.	Here is my team.
arriver	v.to arrive	Je suis sûr que nous arriverons à l'heure.	I am sure we will arrive on time.
guerre	n.war	Je suis contre la guerre.	I am against war.
derrière	adv prep.behind	Il est juste derrière toi.	He's right behind you.
plein	adj.full	Le ballon flotte parce qu'il est plein d'hélium.	The balloon floats because it is full of helium.
fort	adj.strong	Vous êtes très fort.	You are very strong.
exactement	adv.exactly	Je sais exactement ce que je vais faire.	I know exactly what I'm going to do.
presque	adv.almost	Mon travail est presque fini.	My work is almost finished.
dernier	adj n.last	Le dernier est le meilleur.	The last one is the best.
fou	adj n.crazy	Il est fou.	He is crazy.
fête	n.party	Tu dois aller à la fête.	You have to go to the party.
tomber	fall	Laisse la pluie tomber	Let the rain fall on us.
attendre	v.to wait for	j'ai dû attendre mon ami.	I had to wait for my friend.
jeu	n.game	Le jeu est simple et facile à apprendre.	The game is simple and easy to learn.
génial	adj.great	Il est génial.	He is great.
envie	n.desire	Ma plus grande envie serait de voyager en Australie.	My greatest desire would be to travel to Australia.
pays	n.country	Quel pays !	What a country!
cours	n.class (school)	Je veux vous parler après le cours.	I want to talk to you after class.
numéro	n.number	Prends un numéro !	Take a number!
bientôt	adv.soon	Il sera bientôt là.	He will be here soon.
cinq	num.five	Je la connais depuis cinq ans.	I have known her for five years.
parfait	adj.perfect	Cet endroit est parfait.	This place is perfect.
ainsi	adv.so	Il doit en être ainsi.	It must be so.
autant	adv.as much as	Je bois autant d’eau que jamais.	I drink as much water as ever.
retour	n.return	Est-ce la raison de ton retour ?	Is this the reason for your return?
peine	sadness	de la peine pour faire se donner	pain to give oneself
mauvais	adj.bad	Ne sois pas un mauvais garçon.	Don't be a bad boy.
penser	v.to think	Il vous faut penser à votre famille.	You have to think about your family.
mot	n.word	Il veut toujours avoir le dernier mot.	He always wants to have the last word.
quatre	num.four	Nous sommes une famille de quatre.	We are a family of four.
essayer	v.to try	Essaie de te mettre à la place de ta mère.	Try to put yourself in your mother's place.
rentrer	to return	Rentrez dans la maison	Go back into the house.v.
travailler	v.to work	Je travaille dans un cabinet d'avocats.	I work in a law office.
regarder	v.to watch	Je voulais juste te regarder.	I just wanted to watch you.
parfois	adv.sometimes	Ça arrive parfois.	It happens sometimes.
faute	n.mistake	Le texte était plein de fautes d'orthographe.	The text was full of spelling mistakes.
choix	n.choice	Faites un autre choix.	Make another choice.
bas	adj n.low	Le soir, le soleil est bas.	In the evening, the sun is low.
heureux	adj.happy	Je suis très heureux de te revoir.	I am very happy to see you again.
facile	adj.easy	Ça va être facile.	It will be easy.
entendre	v.to hear	Je veux vous entendre le dire.	I want to hear you say it.
lit	n.bed	Il doit rester au lit.	He must stay in bed.
entrer	v.to enter	Il est entré et a immédiatement demandé un verre d'eau.	He came in and immediately asked for a glass of water.
plaisir	n.pleasure	Quel plaisir !	What a pleasure!
ensuite	adv.next	Que devrais-je faire ensuite?	What should I do next?
propre	adj.own	Chaque pays a sa propre culture.	Each country has its own culture.
route	n.way	Il est en route.	He is on his way.
tour	n.stroll	Je suis allé faire un tour dans le parc.	I went for a stroll in the park.
garder	v.to keep	Je vais le garder avec moi.	I will keep it with me.
année	n.year	Il y a douze mois et 365 jours dans une année.	There are twelve months and 365 days in a year.
drôle	adj.funny	Tu es très drôle.	You are very funny.
rendre	v.to give back	Je lui ai rendu les clés.	I gave back his keys.
lieu	n.place	Vous êtes en lieu sûr.	You are in a safe place.
sujet	n.subject	Je connais bien le sujet.	I know the subject well.
difficile	adj.difficult	Cela doit être si difficile pour vous.	It must be so difficult for you.
pire	adj n.worse	Mes résultats scolaires sont pires.	My school results are worse.
sorte	n.type	Dans certaines cultures, un baiser est une sorte de salutation.	In some cultures, a kiss is a type of greeting.
ceci	pro.this	Ceci est pour mon ami.	This is for my friend.
état	n.state (condition of something)	La table est vieille mais elle est en bon état.	The table is old but it is in good condition.
chien	n.dog	Ce chien est à moi.	This dog is mine.
perdre	v.to lose	Ma fille vient de perdre sa première dent.	My daughter just lost her first tooth.
tôt	adv.early	Désolé de vous appeler si tôt.	Sorry to call you so soon.
dès	from / of the	Dès que j’arrive à la maison, je me fais couler un bain.	As soon as I get home, I run myself a bath.
café	n.coffee	Merci pour le café.	Thank you for the coffee.
verre	n.glass (transparent substance)	Elle a versé du lait dans le verre.	She poured milk into the glass.
ferme	adj n.farm	Je travaille dans une ferme.	I work on a farm.
d'accord	int.okay	D'accord ! Je viendrai à la fête demain.	OK! I will come to the party tomorrow.
sûrement	adv.surely	Mon professeur connaît sûrement la réponse.	My teacher surely knows the answer.
montrer	v.to show	Je vais te montrer la ville.	I'll show you the city.
cœur	n.heart	Je le connais par cœur.	I know it by heart.
avis	n.opinion	À mon avis, il a raison.	In my opinion, he is right.
sauf	adj prep.except	Personne ne peut le faire sauf toi.	No one can do it except you.
doute	n.doubt	Ils sont heureux, sans aucun doute.	They are happy, without a doubt.
seconde	n.second	Donne-moi une seconde !	Give me a second!
sérieux	adj.serious	Maintenant je suis sérieux.	Now I am serious.
gentil	adj.kind	Mon père est très gentil.	My father is very kind.
haut	adj n.top	Ma maison est en haut de la route.	My house is at the top of the road.
malade	yesterday.adj n.	Mon fils était malade hier.	My son was sick 
esprit	n.mind	Il a un esprit génial !	He has an amazing mind!
moyen	n.way	Donne-moi un autre moyen.	Give me another way.
six	num.six	Il est déjà six heures.	It is already six o'clock.
salle	n.room	Tous les sièges de la salle étaient occupés.	All the seats in the room were occupied.
comprendre	v.to understand	Des instructions simples sont faciles à comprendre.	Straightforward instructions are easy to understand.
sauver	v.to save	Je suis venu ici pour te sauver.	I came here to save you.
bras	n.arm	Regarde mon bras.	Look at my arm.
chéri	adj n.darling	Chérie, je suis de retour.	Darling, I'm back.
partout	adv.everywhere	Nos gens sont partout.	Our people are everywhere.
visage	n.face	Je connais ton visage.	I know your face.
chemin	n.way	Allons par ce chemin.	Let's go this way.
soirée	n.evening	Nous avons passé une soirée sympa au restaurant.	We spent a nice evening at the restaurant.
livre	n.book	Je lui ai donné un livre.	I gave him a book.
boire	v.to drink	Je veux quelque chose à boire.	I want something to drink.
surtout	adv.above all	L'équipe doit surtout rester unie.	The team must, above all, stay united.
bois	n.wood	Ma maison est en bois.	My house is made of wood.
rapport	n.report	Je veux vous parler à propos de ce rapport.	I want to speak to you about this report.
pauvre	adj.poor	Je fais du bénévolat pour aider les familles pauvres.	I do volunteer work to help poor families.
sinon	you can't go out tonight.conj.	Fais-le, sinon tu ne peux pas sortir ce soir.	Do it, otherwise 
rencontrer	v.to meet	Il a voulu te rencontrer.	He wanted to meet you.
an	n.year	Je suis là depuis un an.	I have been there for a year.
devenir	v.to become	Le garçon veut devenir pompier.	The boy wants to become a firefighter.
souvent	adv.often	Je ne viens pas souvent ici.	I don't come here often.
revenir	v.to come back	Il est revenu à la maison après des années à l'étranger.	He returned home after years abroad.
pièce	n.room (of a house, etc)	Ils sont tous deux dans la pièce.	They are both in the room.
dormir	v.to sleep	Je me sens bien car j'ai bien dormi.	I feel good because I slept well.
grave	adj.serious	La situation est grave.	The situation is serious.
commencer	v.to start	Ne commence pas à faire ça.	Don't start doing this.
roi	n.king	À bas le roi !	Down with the king!
carte	n.map	Le professeur a montré le pays sur la carte.	The teacher pointed the country out on the map.
paraître	v.seem to	La tâche paraissait insurmontable mais j'ai persévéré.	The task seemed insurmountable but I kept trying.
rêve	n.dream	Ça doit être un rêve.	It must be a dream.
bonsoir	int.good evening	Bonsoir ! Nous avons une réservation pour deux.	Good evening! We have a reservation for two.
faux	adj.false	La police a signalé que le passeport était un faux.	The police reported that the passport was a fake.
peur	fear	J'ai peur de faire une erreur.	I'm afraid of making a mistake.
sac	n.bag	Il me faut un sac.	I need a bag.
content	adj.happy	Je suis content de te voir ici.	I'm glad to see you here.
cher	adj.expensive	Ma mère a acheté une bague très chère.	My mother bought a very expensive ring.
acheter	v.to buy	Je veux en acheter un autre.	I want to buy another one.
début	n.beginning	Ça serait un bon début.	It would be a good beginning.
maître	n.master	Vous êtes le maître.	You are the master.
patron	n.boss	Tu es mon patron.	You are my boss.
noël	n.christmas	Noël arrive bientôt.	Christmas is coming soon.
rue	n.street	Ne joue pas dans la rue.	Don't play on the street.
prix	n.price	Ne pense pas au prix.	Don't think about the price.
gagner	win	Pensez-vous que nous avons une chance de gagner? 	Do you think we have a chance to win?
effet	n.effect	Ce médicament a plusieurs effets secondaires.	This medication has several side effects.
tirer	v.to pull	Il faut tirer la porte pour l'ouvrir.	You have to pull the door in order to open it.
avocat	n.lawyer	Je veux parler à un avocat.	I want to speak to a lawyer.
voix	n.voice	Sa voix est très belle.	Her voice is very beautiful.
noir	adj.black	La photo a été imprimée en noir et blanc.	The picture was printed in black and white.
apprendre	v.to learn	Je suis venu ici pour apprendre.	I came here to learn.
dix	num.ten	Le film commence à dix heures.	The film starts at ten.
probablement	adv.probably	Tu savais probablement déjà ça.	You probably already knew that.
bout	n.end	La salle de bain est au bout du couloir.	The bathroom is at the end of the hallway.
ordre	n.order	Mets ta chambre en ordre.	Put your room in order.
incroyable	adj.incredible	Tu es vraiment incroyable.	You are truly incredible.
retrouver	v.to find	Il a enfin retrouvé ses clés perdues.	He finally found his lost keys.
bienvenue	int.welcome!	Bienvenue ! Bon séjour parmi nous !	Welcome! Enjoy your stay with us!
force	n.strength	Il a plus de force que moi.	He has more strength than I do.
ailleurs	adv.elsewhere	Regardez ailleurs.	Look elsewhere.
protéger	v.to protect	On va te protéger.	We will protect you.
utiliser	v.to use	Je sais comment utiliser ça.	I know how to use this.
sœur	n.sister	Ta sœur est toujours aussi belle.	Your sister is still so beautiful.
complètement	adv.completely	Il est complètement fou.	He is completely crazy.
dos	n.(anatomy) back of a person	La gymnaste a levé les bras et arqué le dos.	The gymnast lifted her arms and arched her back.
sale	adj.dirty	Ma voiture est sale.	My car is dirty.
anniversaire	n.birthday	Demain est mon anniversaire.	Tomorrow is my birthday.
oncle	n.uncle	Mon oncle a trois enfants.	My uncle has three children.
paix	n.peace	Ils veulent la paix.	They want peace.
battre	v.to beat	Le coureur a battu facilement tous ses adversaires.	The runner easily beat all his opponents.
absolument	adv.absolutely	Je veux absolument tout savoir.	I absolutely want to know everything.
finir	v.to finish	En tout cas, je dois finir ce travail pour demain.	In any case, I must finish this work for tomorrow.
libre	adj.free	Je suis un homme libre.	I am a free man.
avion	n.airplane	L'avion vole au-dessus de l'océan.	The plane is flying over the ocean.
rouge	adj.red	Ma nouvelle voiture est rouge.	My new car is red.
retourner	v.to return	Il est retourné chez lui après des années à l'étranger.	He returned home after years abroad.
bateau	n.boat	Mon bateau est petit.	My boat is small.
sympa	adj.nice	Ta maison est très sympa.	Your house is very nice.
médecin	n.doctor	Je veux un médecin.	I want a doctor.
balle	n.bullet	Beaucoup de revolvers peuvent contenir six balles.	Many revolvers can hold six bullets.
faim	n.hunger	J'ai faim.	I'm hungry.
fond	n.bottom	La corde a atteint le fond du puits.	The rope reached the bottom of the well.
habitude	n.habit	Je ne veux pas retomber dans mes anciennes habitudes.	I do not want to revert to my old habits.
porter	v.to carry	Nous avons le droit de porter des armes.	We have the right to carry weapons.
autour	adv.around	Regardez autour de toi.	Look around you.
colère	n.anger	Il a soudainement déchaîné sa colère.	He suddenly unleashed his anger.
or	n.gold	Les métaux précieux, tels que l'or, sont chers.	Precious metals, such as gold, are expensive.
ligne	n.line	Il est sur une autre ligne.	It is on another line.
magnifique	adj.magnificent	Ç'est magnifique.	It's magnificent.
gauche	adj n.left	Votre chambre est la première à gauche.	Your room is the first on the left.
clair	adj.clear	Tout est clair pour moi maintenant.	Everything is clear to me now.
neuf	adj num.new	Il est tout neuf.	It is brand new.
cadeau	n.gift	Je veux te donner un cadeau.	I want to give you a gift.
hors	except	Hors de ma vue	Outside of my view.
dedans	adv prep.in	Il doit y avoir quelque chose là-dedans.	There must be something in there.
pote	n.friend	Je connais mon pote depuis plusieurs années.	I have known my friend for several years.
expliquer	v.to explain	Elle ne va pas le leur expliquer.	She will not explain it to them.
espèce	species / kind	Elle portait une espèce de cape en velours.	She was wearing a type of velvet cloak.
montre	n.watch	Je vais vous acheter une montre.	I'll buy you a watch.
pied	n.foot	Je vais toujours à pied.	I always go on foot.
plusieurs	adj.several	Il est venu plusieurs fois.	He came several times.
marcher	v.to walk	Tu dois me faire marcher.	You have to make me walk.
lumière	n.light	Je peux voir la lumière.	I can see the light.
réponse	n.answer	Votre réponse est au point.	Your answer is ready.
coin	n.corner (of the street, etc.)	Il y a un bureau dans un coin de la pièce.	There is a desk in the corner of the room.
suivre	v.to follow	Mon chien me suit partout.	My dog follows me everywhere.
moitié	n.half	Donne-moi la moitié.	Give me half.
pareil	adj.similar	Ces deux maisons ne sont pas pareilles.	These two houses aren't the same.
